#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.726479466877e-02       3.724977100252e-08      -9.935729924732e-05      -1.429452276252e-07       5.750194191865e-12       1.437548547966e-11       8.961116289575e-21       2.875097095932e-12      -7.451797443549e-05      -1.429452276252e-07       6.011200147223e-01       6.994388228089e-01      -9.935729468315e-05      -2.116924444241e-07       1.194516541331e-05      -7.451798155314e-05       0.000000000000e+00      -2.871913770505e-11      -4.958301296739e-13       1.481729486043e-02      -2.871913770505e-11      -8.565904946839e-08 
       1.728494426823e-02       3.729324511782e-08      -9.958934395821e-05      -1.434462981284e-07       5.770350850632e-12       1.442587712658e-11       9.013531038693e-21       2.885175425316e-12      -7.469200796866e-05      -1.434462981284e-07       6.011199860016e-01       6.994387745047e-01      -9.958933754384e-05      -2.124345028307e-07       1.197306166287e-05      -7.469201797165e-05       0.000000000000e+00      -2.892079115174e-11      -4.998951038759e-13       1.481729468866e-02      -2.892079115174e-11      -8.605961847051e-08 
       1.730509386770e-02       3.733671923363e-08      -9.982165932894e-05      -1.439485381480e-07       5.790554554676e-12       1.447638638669e-11       9.066190759417e-21       2.895277277338e-12      -7.486624449670e-05      -1.439485381479e-07       6.011199574007e-01       6.994387263870e-01      -9.982165105787e-05      -2.131782932237e-07       1.200099044937e-05      -7.486625739515e-05       0.000000000000e+00      -2.912362367575e-11      -5.039886089192e-13       1.481729451689e-02      -2.912362367575e-11      -8.646159085779e-08 
       1.735339903421e-02       3.744094088075e-08      -1.003796972894e-04      -1.451573418548e-07       5.839181235770e-12       1.459795308942e-11       9.193435850636e-21       2.919590617885e-12      -7.528477296702e-05      -1.451573418547e-07       6.011198934293e-01       6.994386165876e-01      -1.003796845407e-04      -2.149684663293e-07       1.206807736413e-05      -7.528479284809e-05       0.000000000000e+00      -2.961471288823e-11      -5.139192566111e-13       1.481729410507e-02      -2.961471288823e-11      -8.743098376427e-08 
       1.740170420073e-02       3.754516253076e-08      -1.009392907738e-04      -1.463728934180e-07       5.888079418455e-12       1.472019854614e-11       9.322105716828e-21       2.944039709227e-12      -7.570446808038e-05      -1.463728934179e-07       6.011198277879e-01       6.994385051593e-01      -1.009392735101e-04      -2.167686326226e-07       1.213535127329e-05      -7.570449500264e-05       0.000000000000e+00      -3.011268578149e-11      -5.240171502285e-13       1.481729369321e-02      -3.011268578149e-11      -8.840850575709e-08 
       1.745000936725e-02       3.764938418368e-08      -1.015004397820e-04      -1.475952117787e-07       5.937249861827e-12       1.484312465457e-11       9.452212295106e-21       2.968624930913e-12      -7.612532983646e-05      -1.475952117786e-07       6.011197604030e-01       6.994383919799e-01      -1.015004179653e-04      -2.185788201550e-07       1.220281217688e-05      -7.612536385878e-05       0.000000000000e+00      -3.061761993959e-11      -5.342846310220e-13       1.481729328132e-02      -3.061761993959e-11      -8.939420252999e-08 
       1.749831453376e-02       3.775360583949e-08      -1.020631443108e-04      -1.488243158015e-07       5.986693158895e-12       1.496673289724e-11       9.583767323254e-21       2.993346579448e-12      -7.654735823312e-05      -1.488243158014e-07       6.011196980067e-01       6.994382848090e-01      -1.020631179033e-04      -2.203990568644e-07       1.227046007425e-05      -7.654739941471e-05       0.000000000000e+00      -3.112959328461e-11      -5.447240653271e-13       1.481729286938e-02      -3.112959328461e-11      -9.038811971477e-08 
       1.754661970028e-02       3.785782749819e-08      -1.026274043606e-04      -1.500602242786e-07       6.036410326003e-12       1.509102581501e-11       9.716783281345e-21       3.018205163001e-12      -7.697055327046e-05      -1.500602242785e-07       6.011196298690e-01       6.994381712374e-01      -1.026273733241e-04      -2.222293705819e-07       1.233829496555e-05      -7.697060167085e-05       0.000000000000e+00      -3.164868412151e-11      -5.553378477102e-13       1.481729245741e-02      -3.164868412151e-11      -9.139030290644e-08 
       1.773826786495e-02       3.827132138362e-08      -1.048814040181e-04      -1.550310453954e-07       6.236372263540e-12       1.559093065885e-11       1.025914889667e-20       3.118186131770e-12      -7.866105301358e-05      -1.550310453952e-07       6.011193767440e-01       6.994377425543e-01      -1.048813542358e-04      -2.295908880376e-07       1.260926889547e-05      -7.866113064735e-05       0.000000000000e+00      -3.377984409815e-11      -5.992133107142e-13       1.481729082258e-02      -3.377984409815e-11      -9.544876384955e-08 
       1.792991602961e-02       3.868481531468e-08      -1.071598884547e-04      -1.601104414521e-07       6.440702028503e-12       1.610175507126e-11       1.082546724604e-20       3.220351014252e-12      -8.036991634100e-05      -1.601104414518e-07       6.011191205755e-01       6.994373138106e-01      -1.071598193090e-04      -2.371131988208e-07       1.288318620634e-05      -8.037002417119e-05       0.000000000000e+00      -3.602932172806e-11      -6.460270438153e-13       1.481728918714e-02      -3.602932172806e-11      -9.964093132946e-08 
       1.812156419428e-02       3.909830929138e-08      -1.094628576219e-04      -1.652995843970e-07       6.649446508830e-12       1.662361627207e-11       1.141652256864e-20       3.324723254415e-12      -8.209714321646e-05      -1.652995843965e-07       6.011188722105e-01       6.994368975699e-01      -1.094627684819e-04      -2.447980385589e-07       1.316004689088e-05      -8.209728222702e-05       0.000000000000e+00      -3.840230861039e-11      -6.959412243074e-13       1.481728755109e-02      -3.840230861039e-11      -1.039697072910e-07 
