#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.722603553062e-02       3.716614555796e-08      -9.891174001671e-09      -1.419847926326e-15       5.711891110589e-16       1.427972777647e-15       8.861502282249e-27       2.855945555295e-16      -7.418380501253e-09      -1.419847926326e-15       6.011203744070e-01       6.994392585578e-01      -9.891174001660e-09      -2.102700919652e-15       1.189160126188e-09      -7.418380501269e-09       0.000000000000e+00      -2.833468296782e-15      -4.880910912456e-21       1.481729519082e-06      -2.833468296782e-15      -8.489262105049e-12 
       1.723728608583e-02       3.719041938649e-08      -9.904100998430e-09      -1.422632844397e-15       5.723084284437e-16       1.430771071109e-15       8.890469177806e-27       2.861542142218e-16      -7.428075748822e-09      -1.422632844397e-15       6.011206471874e-01       6.994395573150e-01      -9.904100998409e-09      -2.106825233439e-15       1.190714266294e-09      -7.428075748854e-09       0.000000000000e+00      -2.844600868169e-15      -4.903274889067e-21       1.481729509492e-06      -2.844600868169e-15      -8.511475335165e-12 
       1.724853664105e-02       3.721469321519e-08      -9.917036397830e-09      -1.425421386299e-15       5.734292154180e-16       1.433573038545e-15       8.919511902935e-27       2.867146077090e-16      -7.437777298372e-09      -1.425421386299e-15       6.011209158071e-01       6.994398513716e-01      -9.917036397799e-09      -2.110954914012e-15       1.192269415493e-09      -7.437777298420e-09       0.000000000000e+00      -2.855769557453e-15      -4.925726581334e-21       1.481729499902e-06      -2.855769557453e-15      -8.533731891574e-12 
       1.729590044548e-02       3.731688380692e-08      -9.971579068471e-09      -1.437197961955e-15       5.781651096820e-16       1.445412774205e-15       9.042635134828e-27       2.890825548410e-16      -7.478684301353e-09      -1.437197961955e-15       6.011213643853e-01       6.994403389202e-01      -9.971579068396e-09      -2.128395390028e-15       1.198826765198e-09      -7.478684301469e-09       0.000000000000e+00      -2.903161156259e-15      -5.021201121750e-21       1.481729459526e-06      -2.903161156259e-15      -8.627874298614e-12 
       1.734326424991e-02       3.741907440143e-08      -1.002626787610e-08      -1.449037744830e-15       5.829277294096e-16       1.457319323524e-15       9.167125631293e-27       2.914638647048e-16      -7.519700907076e-09      -1.449037744830e-15       6.011214721348e-01       6.994404516558e-01      -1.002626787598e-08      -2.145929474041e-15       1.205401679135e-09      -7.519700907260e-09       0.000000000000e+00      -2.951190863929e-15      -5.118250222252e-21       1.481729419147e-06      -2.951190863929e-15      -8.722775544062e-12 
       1.739062805434e-02       3.752126499872e-08      -1.008110522417e-08      -1.460941933414e-15       5.877166452624e-16       1.469291613156e-15       9.292986832587e-27       2.938583226312e-16      -7.560828918128e-09      -1.460941933413e-15       6.011214801035e-01       6.994404547480e-01      -1.008110522401e-08      -2.163558940975e-15       1.211994449853e-09      -7.560828918381e-09       0.000000000000e+00      -2.999876307244e-15      -5.216900489432e-21       1.481729378765e-06      -2.999876307244e-15      -8.818452175604e-12 
       1.743799185877e-02       3.762345559880e-08      -1.013609196166e-08      -1.472911067899e-15       5.925317641184e-16       1.481329410296e-15       9.420227413721e-27       2.962658820592e-16      -7.602068971242e-09      -1.472911067898e-15       6.011214671452e-01       6.994404346264e-01      -1.013609196145e-08      -2.181284590850e-15       1.218605180796e-09      -7.602068971565e-09       0.000000000000e+00      -3.049228520914e-15      -5.317175691712e-21       1.481729338379e-06      -3.049228520914e-15      -8.914912864719e-12 
       1.753863671133e-02       3.784060366025e-08      -1.025343164652e-08      -1.498561589966e-15       6.028506418033e-16       1.507126604508e-15       9.695232464400e-27       3.014253209017e-16      -7.690073734891e-09      -1.498561589965e-15       6.011214833612e-01       6.994404375628e-01      -1.025343164622e-08      -2.219271651290e-15       1.232712238666e-09      -7.690073735363e-09       0.000000000000e+00      -3.156357571227e-15      -5.535752580771e-21       1.481729252550e-06      -3.156357571227e-15      -9.122516559025e-12 
       1.763928156388e-02       3.805775173429e-08      -1.037144663425e-08      -1.524508217551e-15       6.132886203732e-16       1.533221550933e-15       9.976622764186e-27       3.066443101866e-16      -7.778584975691e-09      -1.524508217549e-15       6.011215043036e-01       6.994404455981e-01      -1.037144663385e-08      -2.257697235341e-15       1.246900483511e-09      -7.778584976315e-09       0.000000000000e+00      -3.266605722852e-15      -5.761986360654e-21       1.481729166704e-06      -3.266605722852e-15      -9.333725704215e-12 
       1.773992641643e-02       3.827489982090e-08      -1.049013692848e-08      -1.550752617182e-15       6.238463964592e-16       1.559615991148e-15       1.026450908195e-26       3.119231982296e-16      -7.867602696357e-09      -1.550752617179e-15       6.011215238142e-01       6.994404522864e-01      -1.049013692798e-08      -2.296563811200e-15       1.261169915630e-09      -7.867602697136e-09       0.000000000000e+00      -3.380043730529e-15      -5.996099168518e-21       1.481729080842e-06      -3.380043730529e-15      -9.548580977130e-12 
       1.784057126899e-02       3.849204792010e-08      -1.060950251788e-08      -1.577296486088e-15       6.345246583616e-16       1.586311645904e-15       1.055900332657e-26       3.172623291808e-16      -7.957126888410e-09      -1.577296486085e-15       6.011215400709e-01       6.994404555146e-01      -1.060950251728e-08      -2.335873892535e-15       1.275520533763e-09      -7.957126889347e-09       0.000000000000e+00      -3.496745095460e-15      -6.238318344275e-21       1.481728994964e-06      -3.496745095460e-15      -9.767124125077e-12 
       1.808258902281e-02       3.901421769895e-08      -1.089930182459e-08      -1.642361532528e-15       6.606997466067e-16       1.651749366517e-15       1.129489852273e-26       3.303498733034e-16      -8.174476368440e-09      -1.642361532524e-15       6.011215374785e-01       6.994404227933e-01      -1.089930182374e-08      -2.432231852992e-15       1.310361389738e-09      -8.174476369766e-09       0.000000000000e+00      -3.791173043752e-15      -6.855366703149e-21       1.481728788385e-06      -3.791173043752e-15      -1.030799044344e-11 
       1.832460677663e-02       3.953638755062e-08      -1.119300593048e-08      -1.709191431285e-15       6.875850355053e-16       1.718962588763e-15       1.207126471354e-26       3.437925177526e-16      -8.394754447859e-09      -1.709191431279e-15       6.011215003032e-01       6.994403563591e-01      -1.119300592937e-08      -2.531203512110e-15       1.345671700667e-09      -8.394754449590e-09       0.000000000000e+00      -4.105966826542e-15      -7.524005661498e-21       1.481728581707e-06      -4.105966826542e-15      -1.087100850637e-11 
       1.856662453044e-02       4.005855747514e-08      -1.149061483260e-08      -1.777809997215e-15       7.151899773621e-16       1.787974943405e-15       1.288974777046e-26       3.575949886810e-16      -8.617961124449e-09      -1.777809997207e-15       6.011214541717e-01       6.994402820396e-01      -1.149061483122e-08      -2.632824141028e-15       1.381451469161e-09      -8.617961126603e-09       0.000000000000e+00      -4.442246402837e-15      -8.247781749141e-21       1.481728374926e-06      -4.442246402837e-15      -1.145677989758e-11 
       1.880864228426e-02       4.058072747255e-08      -1.179212853552e-08      -1.848240955938e-15       7.435240471232e-16       1.858810117808e-15       1.375203796385e-26       3.717620235616e-16      -8.844096401638e-09      -1.848240955929e-15       6.011214118943e-01       6.994402127645e-01      -1.179212853386e-08      -2.737128878822e-15       1.417700696732e-09      -8.844096404230e-09       0.000000000000e+00      -4.801173985131e-15      -9.030433501836e-21       1.481728168041e-06      -4.801173985131e-15      -1.206591213982e-11 
       1.905066003808e-02       4.110289754289e-08      -1.209754704013e-08      -1.920507943706e-15       7.725967450939e-16       1.931491862735e-15       1.465987064766e-26       3.862983725469e-16      -9.073160280097e-09      -1.920507943695e-15       6.011213747477e-01       6.994401497257e-01      -1.209754703817e-08      -2.844152732272e-15       1.454419382985e-09      -9.073160283145e-09       0.000000000000e+00      -5.183954521023e-15      -9.875899086565e-21       1.481727961047e-06      -5.183954521023e-15      -1.269901856321e-11 
       1.973155195753e-02       4.257196942136e-08      -1.297775693433e-08      -2.133876191241e-15       8.584337697822e-16       2.146084424456e-15       1.747377197955e-26       4.292168848911e-16      -9.733317700749e-09      -2.133876191224e-15       6.011213063373e-01       6.994400122156e-01      -1.297775693149e-08      -3.160140884623e-15       1.560241922675e-09      -9.733317705177e-09       0.000000000000e+00      -6.399793909970e-15      -1.262801530761e-20       1.481727378088e-06      -6.399793909970e-15      -1.461418163537e-11 
       2.041244387697e-02       4.404104187828e-08      -1.388887407330e-08      -2.362489827935e-15       9.504041343487e-16       2.376010335872e-15       2.070407694819e-26       4.752020671743e-16      -1.041665555497e-08      -2.362489827911e-15       6.011212450812e-01       6.994398859272e-01      -1.388887406948e-08      -3.498707162245e-15       1.669780284411e-09      -1.041665556093e-08       0.000000000000e+00      -7.844541781811e-15      -1.601294246613e-20       1.481726794189e-06      -7.844541781811e-15      -1.673821312417e-11 
       2.109333579641e-02       4.551011491459e-08      -1.483089841893e-08      -2.606874617576e-15       1.048719584389e-15       2.621798960972e-15       2.439538237987e-26       5.243597921945e-16      -1.112317381420e-08      -2.606874617544e-15       6.011211639093e-01       6.994397424963e-01      -1.483089841403e-08      -3.860630258311e-15       1.783034465755e-09      -1.112317382185e-08       0.000000000000e+00      -9.551431405655e-15      -2.014756684017e-20       1.481726209283e-06      -9.551431405655e-15      -1.908576818531e-11 
