#scalar perturbations for mode k = 1.000000000000e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.918662955361e-02       4.139626122432e-08      -1.227087126331e-12      -1.961943207256e-23       7.892501795937e-20       1.973125448984e-19       1.519040364390e-32       3.946250897969e-20      -9.203153447482e-13      -1.961943207243e-23       6.011242612337e-01       6.994430505128e-01      -1.227087126331e-12      -2.905516143229e-23       1.475254932445e-13      -9.203153447482e-13       0.000000000000e+00      -5.410157714409e-19      -1.038015736268e-28       1.481727844704e-10      -5.410157714409e-19      -1.306571368248e-15 
       1.963049825964e-02       4.235393897274e-08      -1.284518957320e-12      -2.101278617865e-23       8.453043446721e-20       2.113260861680e-19       1.703072362861e-32       4.226521723361e-20      -9.633892179897e-13      -2.101278617849e-23       6.011240238936e-01       6.994427245524e-01      -1.284518957320e-12      -3.111865106510e-23       1.544301356252e-13      -9.633892179898e-13       0.000000000000e+00      -6.205805905880e-19      -1.218237125463e-28       1.481727464663e-10      -6.205805905880e-19      -1.431732658070e-15 
       2.007436696567e-02       4.331161696693e-08      -1.343264242869e-12      -2.247059648199e-23       9.039515934475e-20       2.259878983619e-19       1.904523593873e-32       4.519757967238e-20      -1.007448182152e-12      -2.247059648179e-23       6.011238109540e-01       6.994424320739e-01      -1.343264242869e-12      -3.327759881270e-23       1.614926925703e-13      -1.007448182152e-12       0.000000000000e+00      -7.096687723702e-19      -1.424639696858e-28       1.481727084227e-10      -7.096687723702e-19      -1.565678671819e-15 
       2.051823567170e-02       4.426929520713e-08      -1.403322982600e-12      -2.399432101017e-23       9.652505470472e-20       2.413126367618e-19       2.124602358421e-32       4.826252735236e-20      -1.052492236950e-12      -2.399432100992e-23       6.011236240802e-01       6.994421730711e-01      -1.403322982599e-12      -3.553416413327e-23       1.687131633911e-13      -1.052492236950e-12       0.000000000000e+00      -8.091717854784e-19      -1.660319225493e-28       1.481726703377e-10      -8.091717854784e-19      -1.708811366507e-15 
       2.174166006771e-02       4.690892145915e-08      -1.575660714378e-12      -2.854731309677e-23       1.148415275497e-19       2.871038188742e-19       2.838195081351e-32       5.742076377485e-20      -1.181745535783e-12      -2.854731309636e-23       6.011232927011e-01       6.994416723174e-01      -1.575660714378e-12      -4.227694431565e-23       1.894322327965e-13      -1.181745535783e-12       0.000000000000e+00      -1.145400319561e-18      -2.490339088979e-28       1.481725651355e-10      -1.145400319561e-18      -2.154285270783e-15 
       2.296508446371e-02       4.954854958851e-08      -1.757976794526e-12      -3.364263628061e-23       1.353398658936e-19       3.383496647340e-19       3.731814271281e-32       6.766993294681e-20      -1.318482595895e-12      -3.364263627999e-23       6.011230113712e-01       6.994412391330e-01      -1.757976794526e-12      -4.982290974001e-23       2.113509394470e-13      -1.318482595895e-12       0.000000000000e+00      -1.590805107538e-18      -3.653280079939e-28       1.481724595645e-10      -1.590805107538e-18      -2.681657140591e-15 
       2.418850885971e-02       5.218817960218e-08      -1.950271200154e-12      -3.931079161134e-23       1.581428889391e-19       3.953572223476e-19       4.837559859543e-32       7.907144446953e-20      -1.462703400115e-12      -3.931079161046e-23       6.011226929078e-01       6.994407819128e-01      -1.950271200154e-12      -5.821723510734e-23       2.344692826350e-13      -1.462703400115e-12       0.000000000000e+00      -2.172047611559e-18      -5.253729103727e-28       1.481723535822e-10      -2.172047611559e-18      -3.300396081883e-15 
       2.541193325572e-02       5.482781150787e-08      -2.152543918106e-12      -4.558230130580e-23       1.833733521683e-19       4.584333804207e-19       6.191137272489e-32       9.168667608414e-20      -1.614407938579e-12      -4.558230130458e-23       6.011223844810e-01       6.994403595314e-01      -2.152543918105e-12      -6.750512693336e-23       2.587872976470e-13      -1.614407938579e-12       0.000000000000e+00      -2.920410159481e-18      -7.421070752787e-28       1.481722471435e-10      -2.920410159481e-18      -4.020495669777e-15 
       2.663535765172e-02       5.746744531415e-08      -2.364794937133e-12      -5.248768990080e-23       2.111540074242e-19       5.278850185606e-19       7.832050837646e-32       1.055770037121e-19      -1.773596202850e-12      -5.248768989916e-23       6.011221219865e-01       6.994400082280e-01      -2.364794937133e-12      -7.773179584707e-23       2.843050022348e-13      -1.773596202850e-12       0.000000000000e+00      -3.872308832392e-18      -1.031364344561e-27       1.481721402011e-10      -3.872308832392e-18      -4.852467319014e-15 
       2.785878204772e-02       6.010708103042e-08      -2.587024244196e-12      -6.005747377753e-23       2.416076323577e-19       6.040190808942e-19       9.803797054772e-32       1.208038161788e-19      -1.940268183147e-12      -6.005747377538e-23       6.011219020854e-01       6.994397128871e-01      -2.587024244195e-12      -8.894244084781e-23       3.110223801164e-13      -1.940268183147e-12       0.000000000000e+00      -5.069819444737e-18      -1.412334451333e-27       1.481720327053e-10      -5.069819444737e-18      -5.807337501338e-15 
