# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.694525473104e-10       9.004463612912e-15       2.180599500655e-13       7.477263309381e-17       8.180288771586e-11       8.893065784500e-12      -5.746646001102e-15 
   43       1.718793408227e-10       9.733751159226e-15       2.062493828196e-13       7.838170544826e-17       7.789566181658e-11       8.503891962892e-12      -6.015310882432e-15 
   44       1.743321200665e-10       1.050042797041e-14       1.931612345523e-13       8.207884355141e-17       7.423872536784e-11       8.139440007256e-12      -6.948618314422e-15 
   45       1.768155886600e-10       1.130373418155e-14       1.786690058835e-13       8.586422325064e-17       7.079653557074e-11       7.798170157999e-12      -8.207914811282e-15 
   46       1.793315176332e-10       1.214383426902e-14       1.626523335047e-13       8.973785792730e-17       6.756368744596e-11       7.479346356165e-12      -9.585078910016e-15 
   47       1.818786808744e-10       1.302111215421e-14       1.449810161609e-13       9.369968404274e-17       6.453642304877e-11       7.181647320606e-12      -1.088380538652e-14 
   48       1.844526666569e-10       1.393590274547e-14       1.255083597274e-13       9.774959200829e-17       6.170138134530e-11       6.902588203612e-12      -1.187346053133e-14 
   49       1.870456134370e-10       1.488849019244e-14       1.040702172896e-13       1.018874236422e-16       5.903488404835e-11       6.638437600039e-12      -1.228728640633e-14 
   50       1.896494267751e-10       1.587910790673e-14       8.052980764057e-14       1.061129662127e-16       5.651006876618e-11       6.385300179069e-12      -1.190765462368e-14 
   51       1.922670724647e-10       1.690794268110e-14       5.492873971149e-14       1.104259385614e-16       5.412222791681e-11       6.142903560476e-12      -1.085327501675e-14 
   52       1.949038921058e-10       1.797512867078e-14       2.737532273432e-14       1.148259968173e-16       5.186911329915e-11       5.911695888308e-12      -9.366842463856e-15 
   53       1.975642918955e-10       1.908074410151e-14      -1.996463258972e-15       1.193127348418e-16       4.974335322205e-11       5.691742577381e-12      -7.737047210113e-15 
   54       2.002516422438e-10       2.022480960695e-14      -3.302577307842e-14       1.238856815245e-16       4.773210762559e-11       5.482698175232e-12      -6.300875572206e-15 
   55       2.029683186434e-10       2.140729962825e-14      -6.556352114900e-14       1.285443528474e-16       4.582098685173e-11       5.284003070113e-12      -5.364728950887e-15 
   56       2.057160661431e-10       2.262818373803e-14      -9.960222829299e-14       1.332884294159e-16       4.400773804843e-11       5.095595300788e-12      -4.939562966584e-15 
   57       2.084955495858e-10       2.388739266997e-14      -1.351763396640e-13       1.381176182945e-16       4.229135467984e-11       4.917326289577e-12      -4.943981064133e-15 
   58       2.113061274702e-10       2.518480502748e-14      -1.723255810194e-13       1.430316015454e-16       4.066793589202e-11       4.748732532947e-12      -5.278808009848e-15 
   59       2.141457570700e-10       2.652024612991e-14      -2.110953157574e-13       1.480300356584e-16       3.913050775027e-11       4.589016223707e-12      -5.826227673217e-15 
   60       2.170108995522e-10       2.789348685897e-14      -2.515369019532e-13       1.531125509815e-16       3.766884447663e-11       4.437025873196e-12      -6.448920808609e-15 
   61       2.198980121731e-10       2.930420881069e-14      -2.936974932637e-13       1.582788296771e-16       3.627230854055e-11       4.291567360903e-12      -7.018328260976e-15 
   62       2.228086309100e-10       3.075189322109e-14      -3.375859587451e-13       1.635288613303e-16       3.493952028672e-11       4.152462508415e-12      -7.508804475026e-15 
   63       2.257452655043e-10       3.223590494801e-14      -3.831999121273e-13       1.688627439645e-16       3.367055141930e-11       4.019694808838e-12      -7.923163909470e-15 
   64       2.287098694128e-10       3.375552178654e-14      -4.305356145854e-13       1.742806124609e-16       3.246401634024e-11       3.893091248947e-12      -8.265481179882e-15 
   65       2.317037952835e-10       3.530993224628e-14      -4.795879968390e-13       1.797826404799e-16       3.131698917262e-11       3.772313415583e-12      -8.541152968085e-15 
   66       2.347277504308e-10       3.689823332852e-14      -5.303506812504e-13       1.853690423831e-16       3.022492078402e-11       3.656848602064e-12      -8.756959931528e-15 
   67       2.377817523113e-10       3.851942830346e-14      -5.828160039231e-13       1.910400751547e-16       2.918155580981e-11       3.546000914588e-12      -8.921128612673e-15 
   68       2.408655908474e-10       4.017251941012e-14      -6.369736841143e-13       1.967960285039e-16       2.818060349634e-11       3.439084658404e-12      -9.042681952848e-15 
   69       2.439804237054e-10       4.185681273640e-14      -6.928064699958e-13       2.026371885486e-16       2.722132884707e-11       3.336069878752e-12      -9.129199627881e-15 
   70       2.471274257623e-10       4.357167140646e-14      -7.502936462547e-13       2.085638701916e-16       2.630395053232e-11       3.237052247664e-12      -9.188713029069e-15 
   71       2.503072798626e-10       4.531642632526e-14      -8.094122964423e-13       2.145764298784e-16       2.542794987062e-11       3.142058704147e-12      -9.230419436732e-15 
   72       2.535201452565e-10       4.709037638344e-14      -8.701372904774e-13       2.206752672170e-16       2.459203270686e-11       3.051043733977e-12      -9.264725735339e-15 
   73       2.567656260385e-10       4.889278866222e-14      -9.324412721494e-13       2.268608265973e-16       2.379409129030e-11       2.963885649504e-12      -9.303292128630e-15 
   74       2.600427395857e-10       5.072289863831e-14      -9.962946466205e-13       2.331335988099e-16       2.303116615265e-11       2.880382869448e-12      -9.359075854738e-15 
   75       2.633498849962e-10       5.257991038884e-14      -1.061665567930e-12       2.394941226659e-16       2.229940798617e-11       2.800250198705e-12      -9.446374901310e-15 
   76       2.666854921484e-10       5.446286107128e-14      -1.128518135359e-12       2.459428880717e-16       2.159503325261e-11       2.723194479504e-12      -9.576747362380e-15 
   77       2.700501752891e-10       5.637018537996e-14      -1.196806630442e-12       2.524800212688e-16       2.091747646062e-11       2.649165695054e-12      -9.745813792788e-15 
   78       2.734449166462e-10       5.830007166934e-14      -1.266480201460e-12       2.591055448713e-16       2.026674613213e-11       2.578145109749e-12      -9.944116439661e-15 
   79       2.768704033275e-10       6.025058809651e-14      -1.337484512919e-12       2.658194709233e-16       1.964246460961e-11       2.510067901241e-12      -1.016098989966e-14 
