#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.722010401555e-02       3.715334791586e-08      -9.884361196066e-07      -1.418380767951e-11       5.705994087457e-14       1.426498521864e-13       8.846258245206e-24       2.852997043728e-14      -7.413270897050e-07      -1.418380767951e-11       6.011201460944e-01       6.994390081827e-01      -9.884361195583e-07      -2.100528137085e-11       1.188341060365e-07      -7.413270897804e-07       0.000000000000e+00      -2.827609998019e-13      -4.869153700338e-17       1.481729524138e-04      -2.827609998019e-13      -8.477564064043e-10 
       1.722542305570e-02       3.716482410218e-08      -9.890468997926e-07      -1.419695773172e-11       5.711281949933e-14       1.427820487483e-13       8.859927153023e-24       2.855640974967e-14      -7.417851748444e-07      -1.419695773172e-11       6.011202073310e-01       6.994390750868e-01      -9.890468996958e-07      -2.102475589007e-11       1.189075367492e-07      -7.417851749954e-07       0.000000000000e+00      -2.832856875810e-13      -4.879692815970e-17       1.481729519604e-04      -2.832856875810e-13      -8.488046343233e-10 
       1.723074209584e-02       3.717630028853e-08      -9.896578678360e-07      -1.421011587660e-11       5.716573093807e-14       1.429143273452e-13       8.873612976234e-24       2.858286546904e-14      -7.422434008770e-07      -1.421011587660e-11       6.011202677963e-01       6.994391411329e-01      -9.896578676907e-07      -2.104424239429e-11       1.189809900352e-07      -7.422434011035e-07       0.000000000000e+00      -2.838111815860e-13      -4.890251464326e-17       1.481729515070e-04      -2.838111815860e-13      -8.498538295623e-10 
       1.725372426458e-02       3.722588586152e-08      -9.922997137661e-07      -1.426705558313e-11       5.739475556307e-14       1.434868889077e-13       8.932945423335e-24       2.869737778154e-14      -7.442247853246e-07      -1.426705558312e-11       6.011203732745e-01       6.994392553026e-01      -9.922997134110e-07      -2.112856703655e-11       1.192986044154e-07      -7.442247858784e-07       0.000000000000e+00      -2.860903868586e-13      -4.936094807135e-17       1.481729495480e-04      -2.860903868586e-13      -8.543975175576e-10 
       1.727670643332e-02       3.727547143517e-08      -9.949450026198e-07      -1.432414381481e-11       5.762440821314e-14       1.440610205329e-13       8.992597498257e-24       2.881220410657e-14      -7.462087519649e-07      -1.432414381481e-11       6.011203974141e-01       6.994392799252e-01      -9.949450020540e-07      -2.121311164022e-11       1.196166326641e-07      -7.462087528472e-07       0.000000000000e+00      -2.883844806243e-13      -4.982304383402e-17       1.481729475889e-04      -2.883844806243e-13      -8.589589943229e-10 
       1.729968860206e-02       3.732505700948e-08      -9.975937894387e-07      -1.438138312766e-11       5.785467777010e-14       1.446366944253e-13       9.052568623564e-24       2.892733888505e-14      -7.481953420790e-07      -1.438138312766e-11       6.011203973915e-01       6.994392779463e-01      -9.975937886613e-07      -2.129787999068e-11       1.199350814396e-07      -7.481953432912e-07       0.000000000000e+00      -2.906937815609e-13      -5.028883769622e-17       1.481729456297e-04      -2.906937815609e-13      -8.635385905417e-10 
       1.732267077079e-02       3.737464258444e-08      -1.000246093648e-06      -1.443877455761e-11       5.808556046501e-14       1.452139011625e-13       9.112859358396e-24       2.904278023251e-14      -7.501845702360e-07      -1.443877455760e-11       6.011203948312e-01       6.994392732548e-01      -1.000246092658e-06      -2.138287362212e-11       1.202539530920e-07      -7.501845717794e-07       0.000000000000e+00      -2.930184562446e-13      -5.075835833588e-17       1.481729436704e-04      -2.930184562446e-13      -8.681364550701e-10 
       1.738263617770e-02       3.750402198655e-08      -1.007183106594e-06      -1.458924020853e-11       5.869087051028e-14       1.467271762757e-13       9.271684127862e-24       2.934543525514e-14      -7.553873299453e-07      -1.458924020852e-11       6.011204020565e-01       6.994392758856e-01      -1.007183105046e-06      -2.160570520354e-11       1.210879512319e-07      -7.553873323590e-07       0.000000000000e+00      -2.991573030696e-13      -5.200117210472e-17       1.481729385579e-04      -2.991573030696e-13      -8.802198649835e-10 
       1.744260158462e-02       3.763340139312e-08      -1.014144091586e-06      -1.474074762226e-11       5.930037267627e-14       1.482509316907e-13       9.432715918287e-24       2.965018633814e-14      -7.606080686892e-07      -1.474074762225e-11       6.011204037524e-01       6.994392720084e-01      -1.014144089474e-06      -2.183007960564e-11       1.219248313939e-07      -7.606080719823e-07       0.000000000000e+00      -3.054029800221e-13      -5.326997839595e-17       1.481729334448e-04      -3.054029800221e-13      -8.924289926025e-10 
       1.750256699153e-02       3.776278080416e-08      -1.021129049129e-06      -1.489330032411e-11       5.991407850750e-14       1.497851962688e-13       9.595977185231e-24       2.995703925375e-14      -7.658467868467e-07      -1.489330032409e-11       6.011204118578e-01       6.994392755839e-01      -1.021129046447e-06      -2.205600204959e-11       1.227645936321e-07      -7.658467910283e-07       0.000000000000e+00      -3.117569330814e-13      -5.456522835192e-17       1.481729283312e-04      -3.117569330814e-13      -9.047646873016e-10 
